GARE;CODE_DEP;CODE_INSEE;CODE_UIC;CODE_POSTAL;LONG;LAT; NB_VOY_2022 ; NB_VOY_2021 ; NB_VOY_2020 ; NB_VOY_2019 ; NB_VOY_2018 ; NB_VOY_2017 ; NB_VOY_2016 ; NB_VOY_2015 ;POP_2023;POP_2019;POP_2013;NB_FOYER_2020;NB_FOYER_2020_REV_0_10000;NB_FOYER_2020_REV_10000_12000;NB_FOYER_2020_REV_12001_15000;NB_FOYER_2020_REV_15001_20000;NB_FOYER_2020_REV_20001_30000;NB_FOYER_2020_REV_30001_50000;NB_FOYER_2020_REV_50001_100000;NB_FOYER_2020_REV_PLUS_100001;REV_MED_2020;PIMP_2020;TP_2020;LOG_2019;RP_2019;RS_2019;LOGVAC_2019;EMPLT_2019;EMPLT_2013;POP_1564_2019;CHOMEUR_1564_2019;POP_ACT_1564_2019;SUPERF;NB_TRANS_2017;NB_TRANS_2018;NB_TRANS_2019;NB_TRANS_2020;NB_TRANS_2021;NB_TRANS_2022;PXMED_2017;PXMED_2018;PXMED_2019;PXMED_2020;PXMED_2021;PXMED_2022;DepT TN_2017;DepT TN_2018;DepT TN_2019;DepT TN_2020;DepT TN_2021;DepT TN_2022;DepT TGV_2017;DepT TGV_2018;DepT TGV_2019;DepT TGV_2020;DepT TGV_2021;DepT TGV_2022;DepT TER_2017;DepT TER_2018;DepT TER_2019;DepT TER_2020;DepT TER_2021;DepT TER_2022;DepT INTERCITES_2017;DepT INTERCITES_2018;DepT INTERCITES_2019;DepT INTERCITES_2020;DepT INTERCITES_2021;DepT INTERCITES_2022
Chelles - Gournay;77;77108;87116111;77500;2.582484;48.874128; -   ; 7 258 472 ; 5 503 458 ; 10 874 698 ; 10 902 348 ; 10 947 125 ; 10 797 607 ; 10 591 778 ;54691;55154;53569;32 443;6 854;1 347;2 289;4 629;6 652;6 271;3 867;534;23130;60;15;24026.818392972;22315.7557532088;223.634120970193;1487.42851879303;14308.8940877038;13503.6717292981;35148.4726977806;3312.42847219847;27036.106397185;15.9;183;366;413;348;302;85;3223;3235;3202;3458;3706;3902;91896;85656;79766;64417;75857;70912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marne-la-Vallée Chessy;77;77111;87111849;77111;2.782720;48.869856; -   ; 3 312 209 ; 2 492 919 ; 5 432 886 ; 5 996 489 ; 6 009 276 ; 5 418 784 ; 5 443 822 ;6780;6304;4679;3 917;587;110;257;618;772;789;617;167;26960;70;9;2812;2497;179;136;14344.8326402073;12286.9410997464;4333;297;3608;5.74;12;14;12;10;13;7;3916;3699;3798;4073;4457;4263;0;0;0;0;0;0;17866;17942;18157;10869;15339;16701;0;0;0;0;0;0;0;0;0;0;0;0
Combs-la-Ville - Quincy;77;77122;87682146;77380;2.547798;48.667179; -   ; 3 058 556 ; 1 834 253 ; 3 851 637 ; 4 008 207 ; 4 197 319 ; 4 308 161 ; 4 396 308 ;21801;21627;22086;12 257;2 158;440;824;1 746;2 583;2 613;1 735;158;24130;63;12;9269.89320947564;8711.0952872926;83.569367147073;475.228555035969;5570.54181268397;5355.06107439671;13698.4440390181;1157.07930735581;10642.7805970923;14.48;78;124;121;139;143;49;2738;2805;2908;2913;3134;3477;50441;44921;44578;37808;43726;46187;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Compans;77;77123;87272047;77290;2.6652718;48.9915767; -   ; 33 426 ; 19 210 ; 38 205 ; 40 000 ; 39 917 ; 41 082 ; 40 731 ;818;815;792;403;NA;NA;NA;NA;NA;NA;NA;NA;24680;NA;NA;262;245;3;14;1323.63356535172;1171.28209961097;584;57;429;5.3;3;2;5;5;3;1;3448;3781;2705;2766;3191;3240;8006;7731;7346;7079;7903;7761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coulommiers;77;77131;87116301;77120;3.082250;48.808006; -   ; 1 077 277 ; 640 283 ; 1 413 685 ; 1 307 147 ; 1 212 158 ; 1 101 461 ; 997 635 ;15167;14779;14725;10 010;2 608;548;909;1 936;1 955;1 464;510;80;20290;47;18;7870.8322324104;6850.90814927594;193.414802673907;826.50928046055;7554.17438241551;7669.8503675308;8870.85059292424;941.214210818667;6406.52822683471;10.93;35;77;88;91;78;35;1983;2222;2345;2278;2352;2685;6478;5794;5831;5096;5775;5482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Villiers Montbarbin;77;77142;87116749;77580;2.8830418;48.8632544;#N/A; 58 772 ; 26 840 ; 64 214 ; 61 424 ; 58 900 ; 55 391 ; 51 920 ;4843;4713;4253;2 863;366;100;195;462;628;598;445;69;26260;66;6;2350.37621169975;2040.44009585648;93.488926746167;216.447189097104;1158.88969084808;1210.71655211064;3076.87673644598;188.944498314761;2480.56235734574;15.78;11;19;21;22;16;9;2700;2670;2747;3204;3117;3120;14819;14358;13272;11811;14154;13967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crécy-la-Chapelle;77;77142;87116772;77580;2.905748;48.859391; -   ; 197 337 ; 84 779 ; 190 995 ; 187 867 ; 185 303 ; 179 177 ; 172 569 ;4843;4713;4253;2 863;366;100;195;462;628;598;445;69;26260;66;6;2350.37621169975;2040.44009585648;93.488926746167;216.447189097104;1158.88969084808;1210.71655211064;3076.87673644598;188.944498314761;2480.56235734574;15.78;11;19;21;22;16;9;2700;2670;2747;3204;3117;3120;8036;7782;7197;6394;7680;7589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crouy-sur-Ourcq;77;77148;87116640;77840;3.063081;49.091821; -   ; 167 305 ; 88 925 ; 204 707 ; 199 897 ; 198 756 ; 196 972 ; 190 715 ;1843;1825;1851;993;NA;NA;NA;NA;NA;NA;NA;NA;23340;NA;NA;772;681;26;65;242.696075402804;283.007034393488;1148;100;881;19.42;1;7;6;10;5;6;2807;1333;1956;1790;2098;2531;13403;11721;12093;10597;12564;12763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vosves;77;77152;87682500;77190;2.5991469;48.5151115;#N/A; 54 599 ; 12 551 ; 36 530 ; 35 838 ; 35 493 ; 34 729 ; 34 075 ;22471;22128;21094;13 180;3 795;685;1 100;2 063;2 495;2 008;940;94;20150;49;21;9742.52914081405;9077.5462609494;87.6162643459267;577.366615518719;6426.72976015287;6946.42792373667;13977.4565229399;1612.37235700572;10111.7617413709;10.24;33;80;81;92;92;26;2500;2671;2500;2732;2740;3080;21064;17829;18811;14986;15900;19328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Esbly;77;77171;87116327;77450;2.81059946;48.90314191; -   ; 1 615 645 ; 1 069 700 ; 2 338 728 ; 2 311 341 ; 2 296 992 ; 2 236 234 ; 2 166 527 ;6509;6404;6189;3 664;542;120;221;549;779;788;589;76;26850;70;8;2840.88576633721;2581.36622319714;72.8295951104542;186.689948029615;1112.95610534724;912.065684288211;4100.08549374862;306.653576128192;3235.58814496709;3.12;32;51;61;49;51;20;2931;2910;3170;3132;3367;3664;39416;37036;36249;31494;36160;34637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
